timestamps,open,high,low,close,volume,amount
2026-04-11 17:45:00,73119.2,73138.0,73046.6,73059.2,107.089,7827809.9526
2026-04-11 17:50:00,73059.2,73087.0,73039.1,73039.1,40.498,2959156.6748
2026-04-11 17:55:00,73039.1,73073.8,73030.0,73065.2,38.882,2840321.0379
2026-04-11 18:00:00,73065.2,73074.8,73001.0,73009.5,29.591,2161305.6098
2026-04-11 18:05:00,73009.5,73067.8,73000.0,73067.2,49.997,3651009.828
2026-04-11 18:10:00,73067.2,73090.6,73025.3,73090.6,46.306,3383297.8342
2026-04-11 18:15:00,73090.6,73149.9,73090.5,73149.9,94.193,6887237.2582
2026-04-11 18:20:00,73149.9,73253.2,73149.9,73164.7,318.304,23299145.106
2026-04-11 18:25:00,73164.7,73200.0,73150.0,73158.9,66.988,4901460.1999
2026-04-11 18:30:00,73158.9,73334.9,73158.9,73260.7,542.029,39705520.4223
2026-04-11 18:35:00,73260.7,73718.3,73260.7,73554.5,2438.03,179299325.5012
2026-04-11 18:40:00,73554.5,73575.5,73391.1,73429.5,569.603,41844727.5521
2026-04-11 18:45:00,73429.5,73607.0,73399.6,73517.0,236.442,17376676.9497
2026-04-11 18:50:00,73517.0,73526.6,73465.4,73483.1,113.518,8342126.3362
2026-04-11 18:55:00,73483.1,73526.6,73454.7,73520.3,104.782,7700168.929
2026-04-11 19:00:00,73520.3,73598.7,73448.5,73502.1,238.416,17528323.8371
2026-04-11 19:05:00,73502.1,73800.0,73502.1,73678.8,849.889,62638584.6186
2026-04-11 19:10:00,73678.8,73696.0,73524.8,73536.6,405.04,29807173.5537
2026-04-11 19:15:00,73536.6,73635.6,73453.5,73510.0,313.679,23069061.279
2026-04-11 19:20:00,73510.0,73510.1,73427.5,73487.1,233.143,17130592.2711
2026-04-11 19:25:00,73487.1,73628.0,73487.0,73591.3,176.96,13015450.566
2026-04-11 19:30:00,73591.3,73780.0,73585.6,73673.9,645.538,47554615.9893
2026-04-11 19:35:00,73673.9,73690.0,73600.0,73641.9,152.542,11233749.011
2026-04-11 19:40:00,73641.9,73664.0,73617.3,73663.9,206.88,15235261.1831
2026-04-11 19:45:00,73663.9,73664.0,73600.1,73615.1,155.628,11456974.4445
2026-04-11 19:50:00,73615.1,73638.0,73585.4,73633.5,136.955,10081318.6866
2026-04-11 19:55:00,73633.5,73659.7,73610.1,73658.9,85.841,6320949.7596
2026-04-11 20:00:00,73658.9,73671.3,73501.3,73509.0,267.544,19682773.5821
2026-04-11 20:05:00,73509.0,73583.9,73492.2,73550.0,142.487,10476087.4757
2026-04-11 20:10:00,73550.0,73550.1,73462.2,73462.2,110.142,8094532.8205
2026-04-11 20:15:00,73462.2,73496.3,73419.2,73427.4,184.462,13547350.6211
2026-04-11 20:20:00,73427.4,73427.5,73370.0,73387.9,168.438,12362257.792
2026-04-11 20:25:00,73387.9,73444.9,73367.2,73383.8,294.06,21587474.7297
2026-04-11 20:30:00,73383.8,73388.8,73208.6,73217.6,752.296,55131670.6012
2026-04-11 20:35:00,73217.6,73338.4,73180.9,73278.4,512.752,37559871.5396
2026-04-11 20:40:00,73278.4,73335.2,73264.6,73329.2,141.297,10357169.9895
2026-04-11 20:45:00,73329.2,73394.0,73293.2,73379.1,98.988,7259153.7991
2026-04-11 20:50:00,73379.1,73420.9,73333.4,73350.0,187.478,13758114.4801
2026-04-11 20:55:00,73350.0,73350.0,73255.0,73263.1,216.282,15850745.062
2026-04-11 21:00:00,73263.1,73318.2,73166.0,73267.2,149.459,10948433.9828
2026-04-11 21:05:00,73267.2,73376.3,73262.2,73376.3,48.646,3567330.8048
2026-04-11 21:10:00,73376.3,73407.3,73343.2,73390.7,285.823,20976216.5778
2026-04-11 21:15:00,73390.7,73409.5,73355.6,73364.8,63.642,4670043.3921
2026-04-11 21:20:00,73364.8,73380.0,73294.6,73310.3,120.515,8838116.0414
2026-04-11 21:25:00,73310.3,73342.8,73284.0,73311.2,25.275,1853070.7695
2026-04-11 21:30:00,73311.2,73398.3,73284.0,73380.6,50.57,3708791.1868
